Ch_0,Ch_1,Ch_2,Ch_3,Ratio_0_1,TimeDiff_0_1,Ratio_2_3,TimeDiff_2_3
378,419,542,269,0.9021479713603818,-750,2.0148698884758365,1
1012,1136,1427,1053,0.8908450704225352,874,1.3551756885090218,438
1909,1176,1106,1849,1.623299319727891,-3470,0.5981611681990265,4531
923,560,742,505,1.6482142857142856,-3625,1.4693069306930693,562
1247,1190,1865,1648,1.0478991596638656,-811,1.1316747572815533,1157
1046,779,979,896,1.3427471116816432,-63,1.0926339285714286,1876
1558,1876,1662,1299,0.8304904051172708,405,1.279445727482679,718
3634,1977,2269,1941,1.838138593829034,-2329,1.1689850592478104,686
1050,4643,1037,1029,0.22614688778806805,5014,1.0077745383867833,-1189
1344,1204,2274,959,1.1162790697674418,-1374,2.3712200208550573,-1563
776,436,409,748,1.7798165137614679,-2313,0.5467914438502673,3751
3510,3323,5447,3535,1.0562744507974722,-296,1.540876944837341,-360
182,218,283,230,0.8348623853211009,-750,1.2304347826086957,-251
479,459,773,466,1.0435729847494553,1000,1.6587982832618027,-936
768,1108,1373,501,0.6931407942238267,-63,2.740518962075848,-1969
3393,1977,1835,1683,1.7162367223065251,-1827,1.0903149138443256,1249
1029,1200,1291,981,0.8575,874,1.3160040774719675,-1063
1172,1568,1707,1048,0.7474489795918368,813,1.6288167938931297,-813
1742,1711,1025,984,1.0181180596142607,93,1.0416666666666667,1062
658,437,403,566,1.505720823798627,-4125,0.7120141342756183,3250
1270,1184,875,660,1.072635135135135,-751,1.3257575757575757,-1
571,604,1097,974,0.945364238410596,-374,1.126283367556468,124
449,224,203,370,2.0044642857142856,-3876,0.5486486486486486,2750
5046,647,765,429,7.799072642967542,-6203,1.7832167832167831,-813
1932,1504,1681,1394,1.2845744680851063,-783,1.2058823529411764,407
1192,1377,1750,1279,0.8656499636891793,-688,1.3682564503518373,907
1222,979,1282,1067,1.2482124616956078,624,1.2014995313964385,-126
743,618,1127,1013,1.2022653721682848,875,1.1125370187561698,124
1019,1120,947,3187,0.9098214285714286,-1249,0.2971446501411986,4343
618,1049,1212,602,0.5891325071496664,1189,2.0132890365448506,-1938
530,309,246,458,1.715210355987055,-3876,0.537117903930131,3626
1210,1258,4202,911,0.9618441971383148,813,4.61251372118551,-2547
1034,1338,1461,782,0.772795216741405,-125,1.8682864450127876,-780
1447,1690,1499,1393,0.8562130177514793,-374,1.0760947595118449,1313
1304,1006,1075,1143,1.2962226640159045,-624,0.9405074365704287,375
765,1453,1484,859,0.5264969029593943,750,1.7275902211874272,468
2148,1956,2601,3570,1.098159509202454,-1124,0.7285714285714285,3297
1386,1203,4489,888,1.1521197007481296,-63,5.05518018018018,-3921
1098,979,855,633,1.1215526046986721,125,1.3507109004739337,999
652,684,1240,1094,0.9532163742690059,-1375,1.13345521023766,657
1139,938,2453,973,1.2142857142857142,-938,2.5210688591983557,-1562
380,401,540,352,0.9476309226932669,-249,1.5340909090909092,-1376
1390,1330,4224,1442,1.0451127819548873,1374,2.929264909847434,-2203
1855,1638,1380,1396,1.1324786324786325,-406,0.9885386819484241,1720
1656,1723,1321,1101,0.9611143354614046,62,1.1998183469573116,624
186,244,345,251,0.7622950819672131,1749,1.3745019920318724,1250
828,1336,1455,684,0.6197604790419161,2376,2.1271929824561404,-375
3322,2981,3029,2174,1.1143911439114391,-545,1.3932842686292548,-937
349,360,493,447,0.9694444444444444,2124,1.1029082774049217,750
1455,2208,1369,1331,0.6589673913043478,1376,1.02854996243426,439
937,915,654,538,1.0240437158469946,563,1.2156133828996283,-500
1124,4372,1316,931,0.25709057639524246,3859,1.413533834586466,-124
2319,2276,1944,1605,1.0188927943760984,-221,1.2112149532710281,469
1601,1491,1604,1780,1.073775989268947,-1187,0.9011235955056179,968
2031,1080,1577,1330,1.8805555555555555,-3312,1.1857142857142857,1655
1136,930,993,992,1.221505376344086,188,1.001008064516129,-312
1285,1347,1486,1346,0.9539717891610987,-1876,1.1040118870728084,1438
947,4443,1052,847,0.2131442718883637,3860,1.2420306965761512,1189
372,259,443,248,1.4362934362934363,-3500,1.7862903225806452,-1875
3308,2858,3155,2117,1.1574527641707488,-1842,1.49031648559282,875
854,977,1129,802,0.8741044012282497,-876,1.4077306733167083,811
3354,2750,3757,3712,1.2196363636363636,-1016,1.0121228448275863,860
957,2906,1224,906,0.32931865106675845,2751,1.3509933774834437,1188
